Dielectric Const (Typical),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,CuO,ZnO,SrO,PbO,Fe2O3,La2O3,Bi2O3,TiO2,GeO2,ZrO2,CeO2,TeO2,P2O5,V2O5,Nb2O5,WO3
10.1,62.5,0,0,0,0,0,0,0,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0
10.44,60,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
12.1,65,0,0,0,0,17.5,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0
13.3,60,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
14.9,55,0,0,0,0,22.5,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0
14.3,56.7,0,0,0,0,23.3,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
16.2,50,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
5.3,70,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.7,65,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,60,0,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.4,55,0,17,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.4,70,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.7,65,0,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,60,0,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,55,0,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.57,50.02,0,25.04,0,24.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.18,49.97,0,25.41,0,0,0,0,0,0,0,0,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0
6.12,77.28,0,7.58,0,0,15.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.16,69.87,0,8.23,0,0,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.7,61.09,0,8.99,0,0,29.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.72,50.19,0,24.72,0,0,25.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.42,60.48,0,7.31,0,0,32.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.7,45,5,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
16,25,25,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
15,5,45,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
4.64,63.8,27.6,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0
11.6,58.8,0,2,0,0,0,0,0,0,0,0,0,39.2,0,0,0,0,0,0,0,0,0,0,0,0
