Liquidus Temperature ( C ),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Gd2O3,Bi2O3,TiO2,ZrO2,CeO2,SnO2,P2O5,Nb2O5,Ta2O5
1130,60.28,5.55,10.43,11.19,9.19,1.68,0,0,0,1.58,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
1100,58.96,4.58,10.34,10.5,10.22,2.08,0,0,0,1.59,0,0,0,0.1,0,0,0,0,0,1.63,0,0,0,0,0,0
1170,58.99,0,20.45,10.69,6.19,1.13,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2.45,0,0
1140,65.68,0,18.3,7.12,2.55,0.32,0,0,0,0,3.46,0,0,0,0,0.07,0,0,0,0,0,0,0,2.02,0,0.48
1298,65.57,0,17.99,6.74,6.05,0,0,0,0,0,0.45,0,0,0,0,0.07,0,0,0,1.7,0,0,0,1.43,0,0
1300,63.1,0,15.06,12.97,4.89,0.85,0,0,0,2.4,0.63,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
1280,68.05,0,15.71,8.92,5.83,0,0,0,0,0,1.39,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
1300,64.85,0,15.15,10.83,5.99,1.31,0,0,0,0,1.3,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0
1270,66.63,0,16.03,11.09,4.76,1.09,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.3
806,70.27,1.3,0.94,4.05,6.26,0,0,15.91,1.02,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.21,0,0
832,70.85,0.52,1.24,4.05,6.25,0,0,15.9,1.02,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.13,0,0
827,70.39,1.3,0.94,4.04,6.25,0,0,15.89,1.02,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.13,0,0
988,71.23,0,0,0,11.82,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0
1024,69.12,0,0,0,13.95,0,0,16.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0
1130,62.84,0,0,0,20.31,0,0,16.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0
1211,69.67,0,0,0,20.26,0,0,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0
1268,70.64,0,0,0,20.26,0,0,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0
1119,66.88,0,0,0,18.18,0,0,14.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0
1046,72.13,0,0,0,12.88,0,0,14.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0
1119,74.24,0,0,0,10.75,0,0,14.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0
1252,77.3,0,0,0,9.14,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0
1200,71.84,0,0,0,17.1,0,0,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0
1103,74.17,0,0,0,11.81,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0
1206,69.29,0,0,0,18.69,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0
1001,71.53,0,0,0,11.87,0,0,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,75.78,0,0,0,7.57,0,0,16.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,69.27,0,0,0,16.13,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,80.3,0,2.5,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,72.5,0,3.9,0,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,69.2,0,4.9,0,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,67.8,0,5.6,0,26.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929,65.4,0,6.8,0,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221,76.4,0,3.1,0,17.6,0,2.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,75.5,0,4,0,17.4,0,2.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924,73.3,0,4.8,0,18.3,0,3.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,71.34,0,5.05,0,18.67,0,4.44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,67.2,0,7.3,0,19.4,0,5.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,77.8,0,2.1,0,18,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,77.4,0,3.1,0,16.7,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929,72.9,0,4.2,0,19.2,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,73.29,0,5.02,0,17.07,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,68,0,6,0,20,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1246,78.7,0,2,0,17.3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,76,0,3.1,0,18,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,72.8,0,4,0,19.1,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,66.8,0,7.2,0,20.4,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
972,62.7,0,8.1,0,21.1,0,0,0.4,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,59.4,0,9.4,0,20.9,0,0,0.4,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,83,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,82,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,81,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,80,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,79,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,59.87,0,0,0,0,0,40.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,56.73,0,0,0,0,0,43.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,71.56,0,0,0,0,0,28.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,72.45,0,0,0,0,0,27.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,70.1,0,0,0,0,0,29.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1074,63.81,0,0,0,0,0,36.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,66.7,0,0,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,68.58,0,0,0,0,0,0,0,31.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,75.02,0,0,0,0,0,0,0,24.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1092,84.98,0,0,0,0,0,0,0,15.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1368,89.67,0,0,0,0,0,0,0,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874,66.69,0,0,0,0,0,0,33.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811,74.99,0,0,0,0,0,0,25.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
